146,66,80
146,66,80
147,66,79
147,66,79
147,66,79
147,66,79
148,66,78
148,66,78
148,66,78
148,66,78
148,66,78
149,66,77
149,66,77
149,66,77
149,66,77
150,66,76
150,66,76
150,66,76
150,66,76
150,66,76
151,66,75
151,66,75
151,66,75
151,66,75
151,66,74
152,66,74
152,66,74
152,66,74
152,66,74
152,66,73
152,66,73
153,66,73
153,66,73
153,66,72
153,66,72
153,66,72
153,66,72
153,66,72
154,66,71
154,66,71
154,66,71
154,66,71
154,66,71
154,66,70
154,66,70
155,66,70
155,66,70
155,66,70
155,66,69
155,66,69
155,66,69
155,66,69
155,66,69
155,67,68
155,67,68
156,67,68
156,67,68
156,67,68
156,67,67
156,67,67
156,67,67
156,67,67
156,67,67
156,67,66
156,67,66
156,67,66
156,67,66
156,67,66
156,67,66
156,67,65
156,67,65
156,67,65
156,67,65
157,67,65
157,67,64
157,67,64
157,67,64
157,67,64
157,67,64
157,67,64
157,67,63
157,67,63
157,67,63
157,67,63
157,67,63
157,67,63
157,68,62
157,68,62
157,68,62
157,68,62
156,68,62
156,68,62
156,68,61
156,68,61
156,68,61
156,68,61
156,68,61
156,68,61
156,68,60
156,68,60
156,68,60
156,68,60
156,68,60
156,68,60
156,68,60
156,68,59
156,68,59
156,69,59
155,69,59
155,69,59
155,69,59
155,69,59
155,69,58
155,69,58
155,69,58
155,69,58
155,69,58
155,69,58
154,69,58
154,69,58
154,69,57
154,69,57
154,69,57
154,69,57
154,70,57
154,70,57
153,70,57
153,70,57
153,70,56
153,70,56
153,70,56
153,70,56
153,70,56
152,70,56
152,70,56
152,70,56
152,70,55
152,70,55
152,70,55
151,71,55
151,71,55
151,71,55
151,71,55
151,71,55
151,71,55
150,71,55
150,71,54
150,71,54
150,71,54
150,71,54
149,71,54
149,71,54
149,71,54
149,72,54
149,72,54
148,72,54
148,72,53
148,72,53
148,72,53
147,72,53
147,72,53
147,72,53
147,72,53
147,72,53
146,72,53
146,73,53
146,73,53
146,73,53
145,73,52
145,73,52
145,73,52
145,73,52
144,73,52
144,73,52
144,73,52
144,73,52
143,73,52
143,74,52
143,74,52
143,74,52
142,74,52
142,74,52
142,74,52
141,74,52
141,74,51
141,74,51
141,74,51
140,74,51
140,74,51
140,75,51
140,75,51
139,75,51
139,75,51
139,75,51
138,75,51
138,75,51
138,75,51
137,75,51
137,75,51
137,75,51
137,76,51
136,76,51
136,76,51
136,76,51
135,76,51
135,76,51
